Handle,Title,Body (HTML),Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Inventory Qty,Image Src
basic-straight-jeans-light-blue,Basic Straight Jeans — Light Blue,"<p>Everyday straight-leg jeans in a soft light-blue wash. Mid-rise, regular fit through the seat and thigh, classic five-pocket styling. Value-priced essential denim.</p>",Vastra,Jeans,"men, denim, straight-fit, value",Size,28,Color,Light Blue,449,30,"https://picsum.photos/seed/101/600/800.jpg"
basic-straight-jeans-light-blue,Basic Straight Jeans — Light Blue,,Vastra,Jeans,"men, denim, straight-fit, value",Size,30,Color,Light Blue,449,35,"https://picsum.photos/seed/101/600/800.jpg"
basic-straight-jeans-light-blue,Basic Straight Jeans — Light Blue,,Vastra,Jeans,"men, denim, straight-fit, value",Size,32,Color,Light Blue,479,40,"https://picsum.photos/seed/101/600/800.jpg"
basic-straight-jeans-light-blue,Basic Straight Jeans — Light Blue,,Vastra,Jeans,"men, denim, straight-fit, value",Size,34,Color,Light Blue,499,30,"https://picsum.photos/seed/101/600/800.jpg"
budget-slim-jeans-grey-wash,Budget Slim Jeans — Grey Wash,"<p>Slim-fit jeans in a stonewashed grey. Tapered leg, mid-rise, soft cotton-poly denim with a hint of stretch. Best-in-class value denim.</p>",Vastra,Jeans,"men, denim, slim-fit, value, stretch",Size,28,Color,Grey,399,35,"https://picsum.photos/seed/102/600/800.jpg"
budget-slim-jeans-grey-wash,Budget Slim Jeans — Grey Wash,,Vastra,Jeans,"men, denim, slim-fit, value, stretch",Size,30,Color,Grey,399,40,"https://picsum.photos/seed/102/600/800.jpg"
budget-slim-jeans-grey-wash,Budget Slim Jeans — Grey Wash,,Vastra,Jeans,"men, denim, slim-fit, value, stretch",Size,32,Color,Grey,429,45,"https://picsum.photos/seed/102/600/800.jpg"
budget-slim-jeans-grey-wash,Budget Slim Jeans — Grey Wash,,Vastra,Jeans,"men, denim, slim-fit, value, stretch",Size,34,Color,Grey,449,35,"https://picsum.photos/seed/102/600/800.jpg"
budget-slim-jeans-grey-wash,Budget Slim Jeans — Grey Wash,,Vastra,Jeans,"men, denim, slim-fit, value, stretch",Size,36,Color,Grey,449,25,"https://picsum.photos/seed/102/600/800.jpg"
stretch-skinny-jeans-black,Stretch Skinny Jeans — Black,"<p>Skinny-fit jeans in jet-black power-stretch denim. Mid-rise, second-skin fit through the leg, recovers shape after wear. A go-to for date night.</p>",Vastra,Jeans,"men, denim, skinny-fit, stretch",Size,28,Color,Black,499,30,"https://picsum.photos/seed/103/600/800.jpg"
stretch-skinny-jeans-black,Stretch Skinny Jeans — Black,,Vastra,Jeans,"men, denim, skinny-fit, stretch",Size,30,Color,Black,599,30,"https://picsum.photos/seed/103/600/800.jpg"
stretch-skinny-jeans-black,Stretch Skinny Jeans — Black,,Vastra,Jeans,"men, denim, skinny-fit, stretch",Size,32,Color,Black,599,30,"https://picsum.photos/seed/103/600/800.jpg"
stretch-skinny-jeans-black,Stretch Skinny Jeans — Black,,Vastra,Jeans,"men, denim, skinny-fit, stretch",Size,34,Color,Black,649,25,"https://picsum.photos/seed/103/600/800.jpg"
distressed-slim-jeans-blue,Distressed Slim Jeans — Blue,"<p>Slim-fit jeans with hand-applied distressing at the knee and thigh. Vintage blue rinse, contrast top-stitching, classic copper rivets.</p>",Vastra,Jeans,"men, denim, slim-fit, distressed, vintage",Size,30,Color,Blue,899,20,"https://picsum.photos/seed/104/600/800.jpg"
distressed-slim-jeans-blue,Distressed Slim Jeans — Blue,,Vastra,Jeans,"men, denim, slim-fit, distressed, vintage",Size,32,Color,Blue,949,25,"https://picsum.photos/seed/104/600/800.jpg"
