Handle,Title,Body (HTML),Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Inventory Qty,Image Src
canvas-sling-bag,Canvas Sling Bag,"<p>Single-strap canvas sling bag with zip main compartment and front utility pocket. Adjustable webbing strap, fits a tablet, phone, wallet and essentials.</p>",Vastra,Accessories,"unisex, sling, canvas, bag",Size,One Size,Color,Tan,449,30,"https://picsum.photos/seed/201/600/800.jpg"
canvas-sling-bag,Canvas Sling Bag,,Vastra,Accessories,"unisex, sling, canvas, bag",Size,One Size,Color,Black,549,25,"https://picsum.photos/seed/202/600/800.jpg"
aviator-sunglasses,Aviator Sunglasses,"<p>Classic aviator-frame sunglasses with UV400-protected lenses. Lightweight metal frame, silicone nose pads, semi-mirrored finish.</p>",Vastra,Accessories,"unisex, sunglasses, aviator, eyewear",Size,One Size,Color,Black,399,40,"https://picsum.photos/seed/203/600/800.jpg"
cotton-baseball-cap,Cotton Baseball Cap,"<p>Six-panel cotton baseball cap with curved brim and adjustable rear strap. Embroidered logo at front, sweat-wicking inner band.</p>",Vastra,Accessories,"unisex, cap, baseball, cotton",Size,One Size,Color,Navy,299,35,"https://picsum.photos/seed/204/600/800.jpg"
cotton-baseball-cap,Cotton Baseball Cap,,Vastra,Accessories,"unisex, cap, baseball, cotton",Size,One Size,Color,Black,349,35,"https://picsum.photos/seed/205/600/800.jpg"
leather-wallet-bifold,Leather Wallet — Bifold,"<p>Bifold wallet in full-grain leather with six card slots, two cash compartments and a transparent ID window. Hand-stitched edges, RFID-blocking lining.</p>",Vastra,Accessories,"men, wallet, leather, bifold",Size,One Size,Color,Brown,599,30,"https://picsum.photos/seed/206/600/800.jpg"
printed-silk-scarf,Printed Silk Scarf,"<p>Lightweight printed silk scarf with hand-rolled hems. Versatile drape — knot at the neck, tie to a bag handle, or wear in the hair.</p>",Vastra,Accessories,"women, scarf, silk, printed",Size,One Size,Color,Blush,349,30,"https://picsum.photos/seed/207/600/800.jpg"
webbing-crossbody-bag,Webbing Crossbody Bag,"<p>Compact crossbody bag with quick-release webbing strap and contrast buckle. Zip top, internal mesh pocket, water-resistant nylon shell.</p>",Vastra,Accessories,"unisex, crossbody, webbing, bag",Size,One Size,Color,Olive,499,25,"https://picsum.photos/seed/208/600/800.jpg"
webbing-crossbody-bag,Webbing Crossbody Bag,,Vastra,Accessories,"unisex, crossbody, webbing, bag",Size,One Size,Color,Black,599,25,"https://picsum.photos/seed/209/600/800.jpg"
canvas-slip-ons,Canvas Slip-Ons,"<p>Easy on-and-off canvas slip-ons with vulcanised rubber outsole. Padded insole, elasticated side gores, clean minimalist upper.</p>",Vastra,Sneakers,"unisex, slip-on, canvas, casual",Size,7,Color,White,699,25,"https://picsum.photos/seed/210/600/800.jpg"
