Handle,Title,Body (HTML),Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Inventory Qty,Image Src
embroidered-straight-kurta,Embroidered Straight Kurta,"<p>Straight-cut kurta in soft cotton with thread embroidery along the yoke and cuffs. Side slits, three-quarter sleeves, mandarin collar. Festive yet wearable every day.</p>",Vastra,Kurtas,"women, ethnic, embroidered, cotton, festive",Size,S,Color,Maroon,899,25,"https://picsum.photos/seed/301/600/800.jpg"
embroidered-straight-kurta,Embroidered Straight Kurta,,Vastra,Kurtas,"women, ethnic, embroidered, cotton, festive",Size,M,Color,Maroon,949,30,"https://picsum.photos/seed/301/600/800.jpg"
embroidered-straight-kurta,Embroidered Straight Kurta,,Vastra,Kurtas,"women, ethnic, embroidered, cotton, festive",Size,L,Color,Maroon,999,25,"https://picsum.photos/seed/301/600/800.jpg"
embroidered-straight-kurta,Embroidered Straight Kurta,,Vastra,Kurtas,"women, ethnic, embroidered, cotton, festive",Size,XL,Color,Maroon,999,20,"https://picsum.photos/seed/301/600/800.jpg"
printed-palazzo-set,Printed Palazzo Set,"<p>Co-ord set with a printed straight kurta and matching wide-leg palazzo. Rayon-blend fabric, lightweight drape, perfect for festive evenings or office wear.</p>",Vastra,Kurtas,"women, ethnic, palazzo, co-ord, printed, set",Size,S,Color,Indigo,1299,15,"https://picsum.photos/seed/302/600/800.jpg"
printed-palazzo-set,Printed Palazzo Set,,Vastra,Kurtas,"women, ethnic, palazzo, co-ord, printed, set",Size,M,Color,Indigo,1399,20,"https://picsum.photos/seed/302/600/800.jpg"
printed-palazzo-set,Printed Palazzo Set,,Vastra,Kurtas,"women, ethnic, palazzo, co-ord, printed, set",Size,L,Color,Indigo,1449,15,"https://picsum.photos/seed/302/600/800.jpg"
printed-palazzo-set,Printed Palazzo Set,,Vastra,Kurtas,"women, ethnic, palazzo, co-ord, printed, set",Size,XL,Color,Indigo,1499,10,"https://picsum.photos/seed/302/600/800.jpg"
ethnic-nehru-jacket,Ethnic Nehru Jacket,"<p>Tailored Nehru-collar jacket in textured cotton-silk. Front button placket, welt pockets, slim fit — layers cleanly over a kurta-pyjama for festive looks.</p>",Vastra,Kurtas,"men, ethnic, nehru-jacket, festive, layering",Size,S,Color,Charcoal,999,20,"https://picsum.photos/seed/303/600/800.jpg"
ethnic-nehru-jacket,Ethnic Nehru Jacket,,Vastra,Kurtas,"men, ethnic, nehru-jacket, festive, layering",Size,M,Color,Charcoal,1049,25,"https://picsum.photos/seed/303/600/800.jpg"
ethnic-nehru-jacket,Ethnic Nehru Jacket,,Vastra,Kurtas,"men, ethnic, nehru-jacket, festive, layering",Size,L,Color,Charcoal,1099,20,"https://picsum.photos/seed/303/600/800.jpg"
ethnic-nehru-jacket,Ethnic Nehru Jacket,,Vastra,Kurtas,"men, ethnic, nehru-jacket, festive, layering",Size,XL,Color,Charcoal,1199,15,"https://picsum.photos/seed/303/600/800.jpg"
chikankari-white-kurta,Chikankari White Kurta,"<p>Authentic Lucknowi Chikankari hand-embroidery on crisp white cotton. Straight cut, side slits, three-quarter sleeves. Timeless ethnic essential.</p>",Vastra,Kurtas,"women, ethnic, chikankari, white, hand-embroidered",Size,S,Color,White,1099,20,"https://picsum.photos/seed/304/600/800.jpg"
chikankari-white-kurta,Chikankari White Kurta,,Vastra,Kurtas,"women, ethnic, chikankari, white, hand-embroidered",Size,M,Color,White,1199,25,"https://picsum.photos/seed/304/600/800.jpg"
chikankari-white-kurta,Chikankari White Kurta,,Vastra,Kurtas,"women, ethnic, chikankari, white, hand-embroidered",Size,L,Color,White,1249,20,"https://picsum.photos/seed/304/600/800.jpg"
chikankari-white-kurta,Chikankari White Kurta,,Vastra,Kurtas,"women, ethnic, chikankari, white, hand-embroidered",Size,XL,Color,White,1299,15,"https://picsum.photos/seed/304/600/800.jpg"
indo-western-asymmetric-kurta,Indo-Western Asymmetric Kurta,"<p>Modern asymmetric kurta with an angled hem and contrast piping. Slim silhouette, mandarin collar, layer-friendly cut. Blends ethnic and contemporary.</p>",Vastra,Kurtas,"women, ethnic, indo-western, asymmetric, modern",Size,S,Color,Burgundy,1199,15,"https://picsum.photos/seed/305/600/800.jpg"
indo-western-asymmetric-kurta,Indo-Western Asymmetric Kurta,,Vastra,Kurtas,"women, ethnic, indo-western, asymmetric, modern",Size,M,Color,Burgundy,1299,20,"https://picsum.photos/seed/305/600/800.jpg"
indo-western-asymmetric-kurta,Indo-Western Asymmetric Kurta,,Vastra,Kurtas,"women, ethnic, indo-western, asymmetric, modern",Size,L,Color,Burgundy,1349,15,"https://picsum.photos/seed/305/600/800.jpg"
indo-western-asymmetric-kurta,Indo-Western Asymmetric Kurta,,Vastra,Kurtas,"women, ethnic, indo-western, asymmetric, modern",Size,XL,Color,Burgundy,1399,10,"https://picsum.photos/seed/305/600/800.jpg"
